code,aoi_name,ptype,monitoring_number,version_number,category,subcategory,unit,total,affected,total_raw,affected_raw,snapshot_date
EMSR865,Monterìa,DEL,1,1,Transportation,Primary Road,km,252.6,6.9,252.6,6.9,2026-08-21
EMSR865,Monterìa,DEL,1,1,Transportation,Secondary Road,km,151.1,3.4,151.1,3.4,2026-08-15
EMSR865,Monterìa,DEL,1,1,Transportation,Secondary Road,km,151.1,3.4,151.1,3.4,2026-08-16
EMSR865,Monterìa,DEL,1,1,Transportation,Secondary Road,km,151.1,3.4,151.1,3.4,2026-08-18
EMSR865,Monterìa,DEL,1,1,Transportation,Secondary Road,km,151.1,3.4,151.1,3.4,2026-08-21
EMSR865,Monterìa,DEL,2,1,Built-up,Industrial buildings,ha,104.3,0.2,104.3,0.2,2026-08-15
EMSR865,Monterìa,DEL,2,1,Built-up,Industrial buildings,ha,104.3,0.2,104.3,0.2,2026-08-16
EMSR865,Monterìa,DEL,2,1,Built-up,Industrial buildings,ha,104.3,0.2,104.3,0.2,2026-08-18
EMSR865,Monterìa,DEL,2,1,Built-up,Industrial buildings,ha,104.3,0.2,104.3,0.2,2026-08-21
EMSR865,Monterìa,DEL,2,1,Built-up,Residential Buildings,ha,1039.4,16.5,1039.4,16.5,2026-08-15
EMSR865,Monterìa,DEL,2,1,Built-up,Residential Buildings,ha,1039.4,16.5,1039.4,16.5,2026-08-16
EMSR865,Monterìa,DEL,2,1,Built-up,Residential Buildings,ha,1039.4,16.5,1039.4,16.5,2026-08-18
EMSR865,Monterìa,DEL,2,1,Built-up,Residential Buildings,ha,1039.4,16.5,1039.4,16.5,2026-08-21
EMSR865,Monterìa,DEL,2,1,Built-up,"School, university and research buildings",ha,134.5,0.4,134.5,0.4,2026-08-15
EMSR865,Monterìa,DEL,2,1,Built-up,"School, university and research buildings",ha,134.5,0.4,134.5,0.4,2026-08-16
EMSR865,Monterìa,DEL,2,1,Built-up,"School, university and research buildings",ha,134.5,0.4,134.5,0.4,2026-08-18
EMSR865,Monterìa,DEL,2,1,Built-up,"School, university and research buildings",ha,134.5,0.4,134.5,0.4,2026-08-21
EMSR865,Monterìa,DEL,2,1,Estimated population,None,,870000.0,\N,870000,null,2026-08-15
EMSR865,Monterìa,DEL,2,1,Estimated population,None,,870000.0,\N,870000,null,2026-08-16
EMSR865,Monterìa,DEL,2,1,Estimated population,None,,870000.0,\N,870000,null,2026-08-18
EMSR865,Monterìa,DEL,2,1,Estimated population,None,,870000.0,\N,870000,null,2026-08-21
EMSR865,Monterìa,DEL,2,1,Facilities,Constructions for mining or extraction,ha,25.5,0.6,25.5,0.6,2026-08-15
EMSR865,Monterìa,DEL,2,1,Facilities,Constructions for mining or extraction,ha,25.5,0.6,25.5,0.6,2026-08-16
EMSR865,Monterìa,DEL,2,1,Facilities,Constructions for mining or extraction,ha,25.5,0.6,25.5,0.6,2026-08-18
EMSR865,Monterìa,DEL,2,1,Facilities,Constructions for mining or extraction,ha,25.5,0.6,25.5,0.6,2026-08-21
EMSR865,Monterìa,DEL,2,1,Facilities,"Long-distance pipelines, communication and electricity lines",km,201.0,4.0,201.0,4.0,2026-08-15
EMSR865,Monterìa,DEL,2,1,Facilities,"Long-distance pipelines, communication and electricity lines",km,201.0,4.0,201.0,4.0,2026-08-16
EMSR865,Monterìa,DEL,2,1,Facilities,"Long-distance pipelines, communication and electricity lines",km,201.0,4.0,201.0,4.0,2026-08-18
EMSR865,Monterìa,DEL,2,1,Facilities,"Long-distance pipelines, communication and electricity lines",km,201.0,4.0,201.0,4.0,2026-08-21
EMSR865,Monterìa,DEL,2,1,Facilities,Settling Basin,ha,23.9,7.7,23.9,7.7,2026-08-15
EMSR865,Monterìa,DEL,2,1,Facilities,Settling Basin,ha,23.9,7.7,23.9,7.7,2026-08-16
EMSR865,Monterìa,DEL,2,1,Facilities,Settling Basin,ha,23.9,7.7,23.9,7.7,2026-08-18
EMSR865,Monterìa,DEL,2,1,Facilities,Settling Basin,ha,23.9,7.7,23.9,7.7,2026-08-21
EMSR865,Monterìa,DEL,2,1,Facilities,Sport and recreation constructions,ha,100.8,4.1,100.8,4.1,2026-08-15
EMSR865,Monterìa,DEL,2,1,Facilities,Sport and recreation constructions,ha,100.8,4.1,100.8,4.1,2026-08-16
EMSR865,Monterìa,DEL,2,1,Facilities,Sport and recreation constructions,ha,100.8,4.1,100.8,4.1,2026-08-18
EMSR865,Monterìa,DEL,2,1,Facilities,Sport and recreation constructions,ha,100.8,4.1,100.8,4.1,2026-08-21
EMSR865,Monterìa,DEL,2,1,Flooded area,None,ha,\N,50383.5,"""NA""",50383.5,2026-08-15
