paquete_sha,capa,idx,producto_id,municipio,departamento,dano,tipo,sensor,sensor_date,metodo,copyright,lat,lon,first_seen,snapshot_date
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,102,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.407293972000048,-76.54853925799995,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,0,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.066433526000026,-75.51864646799999,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,1,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.066293728000062,-75.51863023199996,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,2,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.067173155000035,-75.51667041999997,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,3,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.067178971000033,-75.51653384299993,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,4,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.067197189000069,-75.51634890299994,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,5,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.06720109500003,-75.51622180999993,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,6,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.067032787000073,-75.51617709699997,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,7,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.067011774000036,-75.51628900199995,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,8,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.066991644000041,-75.51648532199994,2026-08-21T09:23:55Z,2026-08-31
