source,external_id,fecha,departamento,municipio,divipola,evento,muertos,heridos,desaparecidos,personas,familias,viv_destruidas,viv_averiadas,vias,acueductos,centros_salud,centros_educativos,lat,lon
ungrd_arcgis,58221,2022-11-09,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58222,2022-12-02,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58223,1954-10-28,NORTE DE SANTANDER,CHITAGA,\N,DESLIZAMIENTO,3.0,12.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58224,1972-04-22,NORTE DE SANTANDER,CHITAGA,\N,INUNDACION,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58225,1975-10-18,NORTE DE SANTANDER,CHITAGA,\N,INUNDACION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58226,1995-02-19,NORTE DE SANTANDER,CHITAGA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58227,1996-12-07,NORTE DE SANTANDER,CHITAGA,\N,INUNDACION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58228,2001-02-01,NORTE DE SANTANDER,CHITAGA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58229,2001-08-21,NORTE DE SANTANDER,CHITAGA,\N,DESLIZAMIENTO,0.0,0.0,0.0,300.0,80.0,10.0,70.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,5823,2024-01-27,HUILA,PALESTINA,41530,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68458076,-76.147855897
ungrd_arcgis,58230,2002-04-02,NORTE DE SANTANDER,CHITAGA,\N,DESLIZAMIENTO,0.0,0.0,0.0,350.0,70.0,5.0,35.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58231,2003-12-11,NORTE DE SANTANDER,CHITAGA,\N,DESLIZAMIENTO,0.0,0.0,0.0,453.0,100.0,10.0,75.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58232,2008-06-13,NORTE DE SANTANDER,CHITAGA,\N,INUNDACION,0.0,0.0,0.0,430.0,86.0,0.0,86.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58233,2009-05-02,NORTE DE SANTANDER,CHITAGA,\N,INUNDACION,0.0,0.0,0.0,85.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58234,2009-09-18,NORTE DE SANTANDER,CHITAGA,\N,EROSION,0.0,0.0,0.0,70.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58235,2010-02-02,NORTE DE SANTANDER,CHITAGA,\N,SEQUIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58236,2010-06-02,NORTE DE SANTANDER,CHITAGA,\N,DESLIZAMIENTO,0.0,0.0,0.0,272.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58237,2011-05-06,NORTE DE SANTANDER,CHITAGA,\N,INUNDACION,0.0,0.0,0.0,56.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58238,2011-06-26,NORTE DE SANTANDER,CHITAGA,\N,DESLIZAMIENTO,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58239,2011-11-05,NORTE DE SANTANDER,CHITAGA,\N,INUNDACION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,5824,2024-01-27,HUILA,PITALITO,41551,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.848217185,-76.05217643
ungrd_arcgis,58240,2012-04-29,NORTE DE SANTANDER,CHITAGA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58241,2012-06-18,NORTE DE SANTANDER,CHITAGA,\N,DESLIZAMIENTO,0.0,0.0,0.0,125.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58242,2012-08-15,NORTE DE SANTANDER,CHITAGA,\N,DESLIZAMIENTO,0.0,0.0,0.0,30.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58243,2015-03-04,NORTE DE SANTANDER,CHITAGA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58244,2015-03-11,NORTE DE SANTANDER,CHITAGA,\N,SISMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58245,2015-06-08,NORTE DE SANTANDER,CHITAGA,\N,INUNDACION,0.0,0.0,0.0,500.0,110.0,25.0,35.0,9.0,3.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58246,2015-06-25,NORTE DE SANTANDER,CHITAGA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58247,2015-06-25,NORTE DE SANTANDER,CHITAGA,\N,AVENIDA TORRENCIAL,0.0,0.0,0.0,450.0,90.0,30.0,60.0,10.0,4.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58248,2015-07-24,NORTE DE SANTANDER,CHITAGA,\N,AVENIDA TORRENCIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58249,2015-09-22,NORTE DE SANTANDER,CHITAGA,\N,CRECIENTE SUBITA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,5825,2024-01-27,CAUCA,ARGELIA,19050,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.329337283,-77.26314906
ungrd_arcgis,58250,2016-02-03,NORTE DE SANTANDER,CHITAGA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58251,2016-02-04,NORTE DE SANTANDER,CHITAGA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
ungrd_arcgis,58252,2016-02-06,NORTE DE SANTANDER,CHITAGA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05161677,-72.525447458
